navigation.draught,navigation.time,navigation.speed,navigation.heading,navigation.location.long,navigation.location.lat,navigation.course,navigation.destination.name,navigation.destination.eta,navigation.status,device.dimensions.to_port,device.dimensions.to_bow,device.dimensions.to_stern,device.dimensions.to_starboard,device.mmsi,vessel.callsign,vessel.subtype,vessel.type,vessel.imo,vessel.name
2.6,2021-01-01T00:01:49+00:00,0.0,224.0,4.70037,51.72718,95.0,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
2.6,2021-01-01T00:04:48+00:00,0.0,224.0,4.70036,51.72719,96.3,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
2.6,2021-01-01T00:10:50+00:00,0.0,224.0,4.70035,51.72718,96.5,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
2.6,2021-01-01T00:16:48+00:00,0.0,225.0,4.70034,51.72718,96.9,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
2.6,2021-01-01T00:19:47+00:00,0.0,225.0,4.70034,51.72719,98.0,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
2.6,2021-01-01T00:25:49+00:00,0.0,225.0,4.70034,51.72719,98.0,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
2.6,2021-01-01T00:31:49+00:00,0.0,226.0,4.70032,51.72718,114.5,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
2.6,2021-01-01T00:34:49+00:00,0.0,227.0,4.70035,51.72717,110.6,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
2.6,2021-01-01T00:40:47+00:00,0.0,226.0,4.70036,51.72717,106.0,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
2.6,2021-01-01T00:46:48+00:00,0.0,227.0,4.70036,51.72716,111.5,BASEL,2021-11-16T15:05:00+00:00,moored,5,120,15,6,244650759,PC5409,,cargo,0,HELENA
