time,destination,course,heading,speed,status,longitude,latitude
2021-01-04T05:31:50+00:00,RDAM-BERGEN OP ZOOM,351.1,,8.2,under-way-using-engine,4.21937,51.50398
2021-01-04T05:32:10+00:00,RDAM-BERGEN OP ZOOM,353.8,,8.3,under-way-using-engine,4.21919,51.50478
2021-01-04T05:32:10+00:00,RDAM-BERGEN OP ZOOM,353.8,,8.3,under-way-using-engine,4.21919,51.50478
2021-01-04T05:32:10+00:00,RDAM-BERGEN OP ZOOM,353.8,,8.3,under-way-using-engine,4.21919,51.50478
2021-01-04T05:32:10+00:00,RDAM-BERGEN OP ZOOM,353.8,,8.3,under-way-using-engine,4.21919,51.50478
2021-01-04T05:32:10+00:00,RDAM-BERGEN OP ZOOM,353.8,,8.3,under-way-using-engine,4.21919,51.50478
2021-01-04T05:32:10+00:00,RDAM-BERGEN OP ZOOM,353.8,,8.3,under-way-using-engine,4.21919,51.50478
2021-01-04T06:40:41+00:00,RDAM-BERGEN OP ZOOM,67.7,,8.1,under-way-using-engine,4.24503,51.63552
2021-01-04T06:40:41+00:00,RDAM-BERGEN OP ZOOM,67.7,,8.1,under-way-using-engine,4.24503,51.63552
2021-01-04T06:51:30+00:00,RDAM-BERGEN OP ZOOM,60.7,,8.0,under-way-using-engine,4.28039,51.64635
2021-01-04T06:56:49+00:00,RDAM-BERGEN OP ZOOM,68.0,,8.1,under-way-using-engine,4.29761,51.65181
2021-01-04T06:56:49+00:00,RDAM-BERGEN OP ZOOM,68.0,,8.1,under-way-using-engine,4.29761,51.65181
2021-01-04T07:07:00+00:00,RDAM-BERGEN OP ZOOM,79.2,,8.0,under-way-using-engine,4.33289,51.65753
2021-01-04T07:08:00+00:00,RDAM-BERGEN OP ZOOM,78.4,,8.1,under-way-using-engine,4.33644,51.65798
2021-01-04T07:12:51+00:00,RDAM-BERGEN OP ZOOM,67.6,,8.1,under-way-using-engine,4.35352,51.66044
2021-01-04T07:18:39+00:00,RDAM-BERGEN OP ZOOM,53.8,,8.0,under-way-using-engine,4.37253,51.6662
2021-01-04T07:26:21+00:00,RDAM-BERGEN OP ZOOM,4.2,,8.2,under-way-using-engine,4.38717,51.68084
2021-01-04T07:30:50+00:00,RDAM-BERGEN OP ZOOM,51.8,,7.3,under-way-using-engine,4.38971,51.69067
2021-01-04T07:35:29+00:00,RDAM-BERGEN OP ZOOM,44.6,,2.5,under-way-using-engine,4.4,51.69349
2021-01-04T07:38:00+00:00,RDAM-BERGEN OP ZOOM,43.9,,0.0,moored,4.40049,51.69388
2021-01-04T07:46:59+00:00,RDAM-BERGEN OP ZOOM,49.4,,3.4,under-way-using-engine,4.40119,51.69416
2021-01-04T07:51:59+00:00,RDAM-BERGEN OP ZOOM,50.4,,8.1,under-way-using-engine,4.41062,51.7014
2021-01-04T07:55:59+00:00,RDAM-BERGEN OP ZOOM,99.1,,6.8,under-way-using-engine,4.42248,51.70486
2021-01-04T08:01:10+00:00,RDAM-BERGEN OP ZOOM,112.6,,7.9,under-way-using-engine,4.43936,51.70107
2021-01-04T08:07:00+00:00,RDAM-BERGEN OP ZOOM,108.8,,7.9,under-way-using-engine,4.45872,51.69663
2021-01-04T08:10:20+00:00,RDAM-BERGEN OP ZOOM,101.7,,7.9,under-way-using-engine,4.47004,51.6948
2021-01-04T08:16:50+00:00,RDAM-BERGEN OP ZOOM,87.5,,7.9,under-way-using-engine,4.49268,51.69327
