time,destination,course,heading,speed,status,longitude,latitude
2021-01-05T20:57:01+00:00,NLVLI,78.9,82,9.3,under-way-using-engine,3.04559,51.36716
2021-01-05T21:02:00+00:00,NLVLI,79.4,81,9.1,under-way-using-engine,3.06571,51.36928
2021-01-05T21:07:00+00:00,NLVLI,77.9,79,9.1,under-way-using-engine,3.08549,51.37163
2021-01-05T21:12:00+00:00,NLVLI,82.0,81,8.9,under-way-using-engine,3.10512,51.374
2021-01-05T21:17:00+00:00,NLVLI,82.0,81,8.9,under-way-using-engine,3.12475,51.37584
2021-01-05T21:22:00+00:00,NLVLI,82.5,81,8.8,under-way-using-engine,3.14434,51.3776
2021-01-05T21:27:00+00:00,NLVLI,80.3,83,8.9,under-way-using-engine,3.16396,51.37928
2021-01-05T21:32:01+00:00,NLVLI,84.4,81,8.5,under-way-using-engine,3.18292,51.38106
2021-01-05T21:36:58+00:00,NLVLI,77.1,78,8.4,under-way-using-engine,3.20115,51.383
2021-01-05T21:42:00+00:00,NLVLI,77.5,78,8.5,under-way-using-engine,3.21987,51.3856
2021-01-05T21:46:58+00:00,NLVLI,76.4,76,8.6,under-way-using-engine,3.23832,51.38851
2021-01-05T21:52:00+00:00,NLVLI,78.2,78,8.7,under-way-using-engine,3.25713,51.39137
2021-01-05T21:57:00+00:00,NLVLI,81.3,82,8.5,under-way-using-engine,3.27605,51.39345
2021-01-05T22:02:00+00:00,NLVLI,80.3,82,8.4,under-way-using-engine,3.29464,51.39524
2021-01-05T22:07:00+00:00,NLVLI,80.6,84,7.7,under-way-using-engine,3.3124,51.39703
2021-01-05T22:11:58+00:00,NLVLI,82.6,84,7.6,under-way-using-engine,3.3291,51.39838
2021-01-05T22:16:58+00:00,NLVLI,82.1,84,7.6,under-way-using-engine,3.34581,51.39983
2021-01-05T22:21:58+00:00,NLVLI,83.9,84,7.8,under-way-using-engine,3.36279,51.40107
2021-01-05T22:26:57+00:00,NLVLI,80.6,80,8.2,under-way-using-engine,3.38062,51.4025
2021-01-05T22:31:57+00:00,NLVLI,78.9,79,8.3,under-way-using-engine,3.39839,51.40451
2021-01-05T22:36:58+00:00,NLVLI,79.5,81,8.3,under-way-using-engine,3.41664,51.40685
2021-01-05T22:42:00+00:00,NLVLI,80.8,79,8.1,under-way-using-engine,3.4352,51.40866
2021-01-05T22:46:56+00:00,NLVLI,79.8,79,7.5,under-way-using-engine,3.45209,51.41058
2021-01-05T22:51:57+00:00,NLVLI,80.7,81,7.5,under-way-using-engine,3.46871,51.41244
2021-01-05T22:56:57+00:00,NLVLI,80.1,82,7.5,under-way-using-engine,3.48515,51.4142
2021-01-05T23:01:58+00:00,NLVLI,78.4,81,7.4,under-way-using-engine,3.50175,51.41599
2021-01-05T23:06:58+00:00,NLVLI,80.9,85,7.0,under-way-using-engine,3.51703,51.41755
2021-01-05T23:11:47+00:00,NLVLI,76.8,82,4.8,under-way-using-engine,3.53046,51.41881
2021-01-05T23:16:56+00:00,NLVLI,80.1,86,5.2,under-way-using-engine,3.54167,51.42053
2021-01-05T23:21:58+00:00,NLVLI,81.5,85,3.7,under-way-using-engine,3.55256,51.42146
2021-01-05T23:26:57+00:00,NLVLI,89.5,90,2.0,under-way-using-engine,3.55893,51.42191
2021-01-05T23:31:57+00:00,NLVLI,89.6,92,3.8,under-way-using-engine,3.56468,51.42195
2021-01-05T23:37:00+00:00,NLVLI,77.7,78,6.7,under-way-using-engine,3.57582,51.42243
2021-01-05T23:41:57+00:00,NLVLI,67.1,70,9.5,under-way-using-engine,3.59359,51.42668
2021-01-05T23:46:57+00:00,NLVLI,70.0,70,8.8,under-way-using-engine,3.61226,51.43113
2021-01-05T23:51:57+00:00,NLVLI,68.4,66,9.3,under-way-using-engine,3.63123,51.43525
2021-01-05T23:56:56+00:00,NLVLI,85.2,89,9.4,under-way-using-engine,3.65157,51.43971
2021-01-06T00:02:00+00:00,NLVLI,19.1,23,10.1,under-way-using-engine,3.67,51.44386
2021-01-06T00:07:00+00:00,NLVLI,33.9,39,4.0,under-way-using-engine,3.6769,51.45297
2021-01-06T00:12:00+00:00,NLVLI,39.6,45,6.0,under-way-using-engine,3.68196,51.45693
2021-01-06T00:16:56+00:00,NLVLI,124.0,124,6.8,under-way-using-engine,3.69461,51.4562
2021-01-06T00:21:56+00:00,NLVLI,124.4,123,2.8,under-way-using-engine,3.70302,51.45271
2021-01-06T00:26:57+00:00,NLVLI,135.3,130,1.3,under-way-using-engine,3.70637,51.45107
2021-01-06T00:32:00+00:00,NLVLI,191.8,242,1.3,under-way-using-engine,3.70813,51.4497
2021-01-06T00:36:58+00:00,NLVLI,232.8,307,0.6,under-way-using-engine,3.7072,51.44886
2021-01-06T00:41:58+00:00,NLVLI,0.1,328,0.0,under-way-using-engine,3.70664,51.44854
2021-01-06T00:46:58+00:00,NLVLI,0.1,328,0.0,under-way-using-engine,3.70675,51.44842
2021-01-06T00:49:09+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44843
2021-01-06T00:55:09+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44841
2021-01-06T01:01:09+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44842
2021-01-06T01:04:08+00:00,NLVLI,0.1,329,0.0,moored,3.70675,51.44841
2021-01-06T01:10:09+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44842
2021-01-06T01:16:07+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44843
2021-01-06T01:19:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44842
2021-01-06T01:25:09+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44842
2021-01-06T01:31:08+00:00,NLVLI,0.1,329,0.0,moored,3.70675,51.44841
2021-01-06T01:34:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44842
2021-01-06T01:40:09+00:00,NLVLI,0.1,328,0.0,moored,3.70673,51.44842
2021-01-06T01:46:08+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44842
2021-01-06T01:49:08+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T01:55:08+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T02:01:09+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44842
2021-01-06T02:04:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44841
2021-01-06T02:10:07+00:00,NLVLI,0.1,329,0.0,moored,3.70676,51.44842
2021-01-06T02:16:07+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44842
2021-01-06T02:19:07+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44842
2021-01-06T02:22:08+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44841
2021-01-06T02:31:08+00:00,NLVLI,0.1,328,0.0,moored,3.70672,51.44845
2021-01-06T02:34:09+00:00,NLVLI,0.1,327,0.0,moored,3.70677,51.44843
2021-01-06T02:40:09+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44843
2021-01-06T02:46:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44841
2021-01-06T02:49:08+00:00,NLVLI,0.1,327,0.0,moored,3.70677,51.44841
2021-01-06T02:55:08+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44844
2021-01-06T03:01:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.4484
2021-01-06T03:04:09+00:00,NLVLI,0.1,327,0.0,moored,3.70676,51.44842
2021-01-06T03:10:09+00:00,NLVLI,0.1,329,0.0,moored,3.70676,51.44841
2021-01-06T03:16:09+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T03:19:07+00:00,NLVLI,0.1,329,0.0,moored,3.70676,51.44842
2021-01-06T03:25:08+00:00,NLVLI,0.1,328,0.0,moored,3.70678,51.44841
2021-01-06T03:31:09+00:00,NLVLI,0.1,327,0.0,moored,3.70677,51.44841
2021-01-06T03:34:08+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.4484
2021-01-06T03:40:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44841
2021-01-06T03:46:09+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T03:49:08+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44837
2021-01-06T03:55:09+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44842
2021-01-06T04:01:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44842
2021-01-06T04:04:08+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44842
2021-01-06T04:10:07+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.4484
2021-01-06T04:16:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44841
2021-01-06T04:19:08+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44842
2021-01-06T04:25:07+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44841
2021-01-06T04:31:09+00:00,NLVLI,0.1,327,0.0,moored,3.70673,51.4484
2021-01-06T04:34:08+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T04:40:08+00:00,NLVLI,0.1,329,0.0,moored,3.70677,51.44842
2021-01-06T04:46:07+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44841
2021-01-06T04:49:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.4484
2021-01-06T04:55:08+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44843
2021-01-06T04:58:09+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44841
2021-01-06T05:04:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44841
2021-01-06T05:10:07+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44842
2021-01-06T05:16:09+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.4484
2021-01-06T05:19:09+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.4484
2021-01-06T05:25:08+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44841
2021-01-06T05:31:07+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T05:34:07+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.4484
2021-01-06T05:40:09+00:00,NLVLI,0.1,329,0.0,moored,3.70675,51.44842
2021-01-06T05:46:09+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.4484
2021-01-06T05:49:09+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44841
2021-01-06T05:55:09+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44841
2021-01-06T06:01:08+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.4484
2021-01-06T06:04:08+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44841
2021-01-06T06:10:08+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T06:16:08+00:00,NLVLI,0.1,328,0.0,moored,3.70673,51.44842
2021-01-06T06:19:09+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44839
2021-01-06T06:25:09+00:00,NLVLI,0.1,329,0.0,moored,3.70674,51.44844
2021-01-06T06:31:08+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T06:34:08+00:00,NLVLI,0.1,329,0.0,moored,3.70674,51.44843
2021-01-06T06:40:08+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44842
2021-01-06T06:43:07+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44842
2021-01-06T06:49:08+00:00,NLVLI,0.1,329,0.0,moored,3.70675,51.4484
2021-01-06T06:55:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44841
2021-01-06T07:01:09+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44839
2021-01-06T07:04:08+00:00,NLVLI,0.1,328,0.0,moored,3.70673,51.44841
2021-01-06T07:10:08+00:00,NLVLI,0.1,327,0.0,moored,3.70673,51.44841
2021-01-06T07:13:08+00:00,NLVLI,0.1,327,0.0,moored,3.70674,51.4484
2021-01-06T07:19:07+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.4484
2021-01-06T07:25:09+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T07:31:07+00:00,NLVLI,0.1,329,0.0,moored,3.70677,51.44842
2021-01-06T07:34:08+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44842
2021-01-06T07:40:09+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44841
2021-01-06T07:46:08+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.4484
2021-01-06T07:49:07+00:00,NLVLI,0.1,327,0.0,moored,3.70675,51.4484
2021-01-06T07:55:09+00:00,NLVLI,0.1,327,0.0,moored,3.70673,51.44842
2021-01-06T08:01:08+00:00,NLVLI,0.1,328,0.0,moored,3.70673,51.44842
2021-01-06T08:04:09+00:00,NLVLI,0.1,327,0.0,moored,3.70675,51.44841
2021-01-06T08:10:08+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44843
2021-01-06T08:16:08+00:00,NLVLI,0.1,329,0.0,moored,3.70676,51.44842
2021-01-06T08:19:07+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44843
2021-01-06T08:25:09+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44843
2021-01-06T08:31:09+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44842
2021-01-06T08:34:09+00:00,NLVLI,0.1,329,0.0,moored,3.70674,51.44843
2021-01-06T08:37:09+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44842
2021-01-06T08:46:09+00:00,NLVLI,0.1,327,0.0,moored,3.70676,51.4484
2021-01-06T08:49:09+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.4484
2021-01-06T08:55:08+00:00,NLVLI,0.1,328,0.0,moored,3.70676,51.44841
2021-01-06T09:01:07+00:00,NLVLI,0.1,328,0.0,moored,3.70675,51.44842
2021-01-06T09:04:08+00:00,NLVLI,0.1,328,0.0,moored,3.70674,51.44843
2021-01-06T09:10:08+00:00,NLVLI,0.1,327,0.0,moored,3.70677,51.44842
2021-01-06T09:16:09+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44841
2021-01-06T09:19:08+00:00,NLVLI,0.1,327,0.0,moored,3.70676,51.44841
2021-01-06T09:25:07+00:00,NLVLI,0.1,328,0.0,moored,3.70677,51.44841
2021-01-06T09:31:09+00:00,NLVLI,0.1,327,0.0,moored,3.70674,51.44841
2021-01-06T09:34:07+00:00,NLVLI,0.1,328,0.0,moored,3.70678,51.4484
